flight,date,time
RYR7WN,2023-04-05,00:00:02
RYR58DE,2023-04-05,00:00:02
WUK7TA,2023-04-05,00:04:02
RYR212,2023-04-05,00:10:02
RYR3X,2023-04-05,00:15:02
EZY34AD,2023-04-05,00:17:02
EZY2584,2023-04-05,00:19:02
ICE720,2023-04-05,00:20:02
RUK4XQ,2023-04-05,00:21:02
EZY79BC,2023-04-05,00:26:02
RYR34QQ,2023-04-05,00:26:02
WZZ11UB,2023-04-05,00:29:02
RYR76ZP,2023-04-05,00:32:02
RYR3HQ,2023-04-05,00:35:02
RYR1XT,2023-04-05,00:35:02
RYR23KE,2023-04-05,00:37:02
MSR982,2023-04-05,00:38:02
EZY26CE,2023-04-05,00:44:02
EIN799,2023-04-05,00:49:02
RYR47EQ,2023-04-05,00:50:02
RYR67ST,2023-04-05,00:53:02
EZY6576,2023-04-05,00:53:02
EZY87BZ,2023-04-05,00:54:02
WUK28FL,2023-04-05,00:58:02
RYR52RK,2023-04-05,01:00:02
RYR4BP,2023-04-05,01:03:02
RYR9KD,2023-04-05,01:03:02
WUK5170,2023-04-05,01:13:02
EZY65CL,2023-04-05,01:14:02
WUK4098,2023-04-05,01:15:02
EZY2282,2023-04-05,01:17:03
BCS453,2023-04-05,01:19:02
EZY34BP,2023-04-05,01:20:02
EZY2914,2023-04-05,01:21:02
LDX350,2023-04-05,01:25:02
BCS461,2023-04-05,01:30:02
EZY2468,2023-04-05,01:33:02
WUK2001,2023-04-05,01:33:02
EZY58TU,2023-04-05,01:36:02
TOM291,2023-04-05,01:41:02
VLG8561,2023-04-05,01:41:02
BCS426,2023-04-05,02:04:02
BCS92L,2023-04-05,02:14:02
GTR2529,2023-04-05,02:16:02
ABX983,2023-04-05,02:20:02
EZY57VR,2023-04-05,02:22:02
BOX193,2023-04-05,02:26:02
TOM9MC,2023-04-05,02:27:02
UPS217,2023-04-05,02:32:02
CHG522,2023-04-05,02:42:02
AZD112,2023-04-05,02:43:02
MNB9453,2023-04-05,02:46:02
FDX5219,2023-04-05,02:56:02
DLH401,2023-04-05,03:09:02
FDX5202,2023-04-05,03:30:02
TAY4617,2023-04-05,03:39:02
BCS942,2023-04-05,03:40:02
NPT3FS,2023-04-05,03:40:02
BCS2886,2023-04-05,03:42:02
FPO4294,2023-04-05,03:48:02
NYX301,2023-04-05,03:53:02
QTR8099,2023-04-05,03:57:02
ACA840,2023-04-05,04:06:02
UAL944,2023-04-05,04:09:02
JAF162,2023-04-05,04:11:02
DAL256,2023-04-05,04:12:02
UPS204,2023-04-05,04:27:02
CLX79Z,2023-04-05,04:29:02
AFR293,2023-04-05,04:29:02
AAL716,2023-04-05,04:33:02
CLX22Y,2023-04-05,04:36:02
DLH423,2023-04-05,04:37:02
UAL108,2023-04-05,04:47:02
DLH445,2023-04-05,04:57:02
AZD359,2023-04-05,04:57:02
DLH411,2023-04-05,04:59:02
UAL30,2023-04-05,04:59:02
DLH479,2023-04-05,05:04:02
BCS2696,2023-04-05,05:04:02
KLM714,2023-04-05,05:06:02
UAL989,2023-04-05,05:08:02
UAL918,2023-04-05,05:15:02
BEL52B,2023-04-05,05:15:02
AUA94,2023-04-05,05:24:02
DLH403,2023-04-05,05:28:02
CLX97A,2023-04-05,05:31:02
UAL915,2023-04-05,05:32:02
BAW9E,2023-04-05,05:33:02
UAL950,2023-04-05,05:34:02
AAL100,2023-04-05,05:41:02
BAW78,2023-04-05,05:42:02
VIR134E,2023-04-05,05:47:02
BAW40F,2023-04-05,05:48:02
UAL57,2023-04-05,05:49:02
OCN51,2023-04-05,05:49:02
UAL999,2023-04-05,05:51:02
FDX48,2023-04-05,05:51:02
BAW5CA,2023-04-05,05:55:02
BAW216,2023-04-05,05:57:02
BAW32,2023-04-05,05:58:02
EZY83MV,2023-04-05,05:58:02
UAL110,2023-04-05,05:58:02
DLH419,2023-04-05,05:58:02
UPS218,2023-04-05,05:58:02
DAL232,2023-04-05,06:00:02
BAW25GP,2023-04-05,06:00:02
ACA864,2023-04-05,06:00:02
DLH471,2023-04-05,06:01:02
DAL140,2023-04-05,06:01:02
ACA854,2023-04-05,06:01:02
DAL106,2023-04-05,06:01:02
VIR22Q,2023-04-05,06:02:02
DLH441,2023-04-05,06:02:02
DAL30,2023-04-05,06:02:02
DAL86,2023-04-05,06:03:02
JBU1620,2023-04-05,06:03:02
WUK443,2023-04-05,06:04:02
UAL901,2023-04-05,06:06:02
JAL41,2023-04-05,06:07:02
VIR6J,2023-04-05,06:07:02
N197BB,2023-04-05,06:08:02
AAL50,2023-04-05,06:10:02
SWT565,2023-04-05,06:11:02
ACA832,2023-04-05,06:11:02
UAL929,2023-04-05,06:12:02
AAL70,2023-04-05,06:12:02
EZY31UB,2023-04-05,06:14:02
TUI168,2023-04-05,06:14:02
CPA255,2023-04-05,06:15:02
BAW11J,2023-04-05,06:16:02
EZY39QK,2023-04-05,06:16:02
UAL84,2023-04-05,06:16:02
AUA4M,2023-04-05,06:18:02
BAW28,2023-04-05,06:18:02
BCS3TW,2023-04-05,06:20:02
EZY46EG,2023-04-05,06:20:02
AAL106,2023-04-05,06:21:02
KLM1058,2023-04-05,06:22:02
TAP63V,2023-04-05,06:23:02
N301SR,2023-04-05,06:23:02
EZY31LR,2023-04-05,06:23:02
UPS216,2023-04-05,06:24:02
ETH700,2023-04-05,06:24:02
DAL16,2023-04-05,06:24:02
RCH840,2023-04-05,06:25:02
EZY18NL,2023-04-05,06:25:02
SWR79MG,2023-04-05,06:25:02
DAL58,2023-04-05,06:27:02
BAW81V,2023-04-05,06:29:02
ACA844,2023-04-05,06:29:02
KAC118,2023-04-05,06:30:02
VIR303,2023-04-05,06:30:02
TUI39B,2023-04-05,06:30:02
RYR6SK,2023-04-05,06:30:02
KLM646,2023-04-05,06:30:02
VIR46K,2023-04-05,06:32:02
DAL130,2023-04-05,06:33:02
RYR88EF,2023-04-05,06:34:02
EZY16DH,2023-04-05,06:34:02
DAL10,2023-04-05,06:34:02
BAW5MK,2023-04-05,06:36:02
WUK7XZ,2023-04-05,06:36:02
EZY87KP,2023-04-05,06:36:02
RYR782X,2023-04-05,06:37:02
CMB349,2023-04-05,06:38:02
EZY57BX,2023-04-05,06:39:02
EJU59PU,2023-04-05,06:39:02
AFR73KY,2023-04-05,06:39:02
BAW389,2023-04-05,06:39:02
UAE3JF,2023-04-05,06:41:02
EXS79AF,2023-04-05,06:41:02
BAW8NG,2023-04-05,06:41:02
WUK6MP,2023-04-05,06:41:02
KLM1046,2023-04-05,06:41:02
AFR58LM,2023-04-05,06:43:02
RBA97,2023-04-05,06:43:02
RYR4563,2023-04-05,06:43:02
RYR80JM,2023-04-05,06:43:02
SHT13C,2023-04-05,06:43:02
EZY52FP,2023-04-05,06:44:02
BEL9HZ,2023-04-05,06:45:02
RYR36CZ,2023-04-05,06:45:02
UAL14,2023-04-05,06:46:02
KLM1000,2023-04-05,06:46:02
TRA72E,2023-04-05,06:46:02
EZY85PY,2023-04-05,06:47:02
KLM702,2023-04-05,06:48:02
EWG3HX,2023-04-05,06:49:02
EXS22EJ,2023-04-05,06:49:02
