flight,date,time
WUK12UW,2023-12-15,00:00:02
DHK5DA,2023-12-15,00:02:02
MABJA,2023-12-15,00:14:02
BCS7017,2023-12-15,00:17:02
BRO873B,2023-12-15,00:17:02
DHK2SD,2023-12-15,00:18:02
THY4,2023-12-15,00:21:02
WUK9ZC,2023-12-15,00:27:02
ETD5SJ,2023-12-15,00:33:02
TOM4TC,2023-12-15,00:41:02
UPS229,2023-12-15,00:47:02
P4AAA,2023-12-15,00:57:02
YUTBA,2023-12-15,01:02:02
DHK514,2023-12-15,01:08:02
BCS453,2023-12-15,01:18:02
DHK56W,2023-12-15,01:18:02
BCS461,2023-12-15,01:30:02
CLF785,2023-12-15,01:51:02
THY6898,2023-12-15,01:52:02
EZY28ZJ,2023-12-15,01:53:02
ASL501,2023-12-15,02:05:02
DHK076,2023-12-15,02:12:02
BCS92L,2023-12-15,02:13:02
BOX397,2023-12-15,02:13:02
ABD4591,2023-12-15,02:30:02
UPS217,2023-12-15,02:35:02
BCS2213,2023-12-15,02:40:02
BOX193,2023-12-15,02:44:02
IMX112,2023-12-15,02:45:02
ICE751,2023-12-15,02:51:02
GEC8353,2023-12-15,02:57:02
BCS463,2023-12-15,03:08:02
FDX5219,2023-12-15,03:11:02
DHK452,2023-12-15,03:13:02
ABR2241,2023-12-15,03:21:02
BCS462,2023-12-15,03:23:02
UAL944,2023-12-15,03:29:02
AFR1M,2023-12-15,03:46:02
BCS2886,2023-12-15,03:47:02
UPS248,2023-12-15,03:49:02
QTR8112,2023-12-15,03:54:02
AFR63J,2023-12-15,04:00:02
ABV3FS,2023-12-15,04:00:02
THY3WL,2023-12-15,04:06:02
SWR17K,2023-12-15,04:06:02
ABR2DI,2023-12-15,04:10:02
FPO7SN,2023-12-15,04:13:02
AFR327,2023-12-15,04:14:02
NOS789,2023-12-15,04:17:02
GCK18,2023-12-15,04:17:02
BAW74,2023-12-15,04:31:02
ACA840,2023-12-15,04:38:02
KAC118,2023-12-15,04:43:02
ETH3518,2023-12-15,04:48:02
CFG2017,2023-12-15,04:48:02
IAM3115,2023-12-15,04:51:02
VPCZA,2023-12-15,04:55:02
UAL30,2023-12-15,04:57:02
IMX359,2023-12-15,05:00:02
AAL704,2023-12-15,05:01:02
UPS204,2023-12-15,05:01:02
ACA844,2023-12-15,05:15:02
FDX48,2023-12-15,05:16:02
FDX5202,2023-12-15,05:18:02
DAL152,2023-12-15,05:20:02
UAL989,2023-12-15,05:20:02
UAL108,2023-12-15,05:21:02
DLH411,2023-12-15,05:26:02
UAL929,2023-12-15,05:35:02
SVA117,2023-12-15,05:42:02
DAL80,2023-12-15,05:42:02
BAW25GP,2023-12-15,05:44:02
ETD72E,2023-12-15,05:46:02
AAL20,2023-12-15,05:47:02
BAW5CA,2023-12-15,05:51:02
SIA322,2023-12-15,05:51:02
UAL57,2023-12-15,05:53:02
AAL716,2023-12-15,05:54:02
BAW16,2023-12-15,05:55:02
BAW250,2023-12-15,05:56:02
JBU1620,2023-12-15,05:56:02
JAL41,2023-12-15,05:57:02
WUK95UC,2023-12-15,05:57:02
UPS218,2023-12-15,05:58:02
AFR379G,2023-12-15,05:59:02
BEL52B,2023-12-15,05:59:02
