flight,date,time
RYR73VJ,2024-01-13,00:00:03
RYR706Z,2024-01-13,00:03:02
WUK12UW,2024-01-13,00:48:02
UPS214,2024-01-13,01:18:02
ABD4197,2024-01-13,01:53:02
AFR279,2024-01-13,02:19:03
UPS208,2024-01-13,03:18:02
BCS2214,2024-01-13,03:21:02
DLH423,2024-01-13,03:52:02
DHK078,2024-01-13,03:54:02
UAL83,2024-01-13,04:04:02
BAW58L,2024-01-13,04:19:02
AFR345,2024-01-13,04:19:02
RRR4998,2024-01-13,04:20:02
BAW74,2024-01-13,04:21:02
CFG2017,2024-01-13,04:34:02
VIR450,2024-01-13,04:39:02
AFR333P,2024-01-13,04:43:02
BAW56,2024-01-13,04:52:02
BAW250,2024-01-13,05:02:02
VJT768,2024-01-13,05:10:02
GTI8595,2024-01-13,05:18:02
BAW78,2024-01-13,05:32:02
QTR781,2024-01-13,05:32:02
TSC250,2024-01-13,05:37:02
JAF2AV,2024-01-13,05:37:02
JAF5TC,2024-01-13,05:41:02
UAL52,2024-01-13,05:47:02
JBU1620,2024-01-13,05:47:02
RYR4HM,2024-01-13,05:48:02
KLM736,2024-01-13,05:52:02
BAW246,2024-01-13,05:52:02
BAW25GP,2024-01-13,05:54:02
UAL110,2024-01-13,05:57:02
AAL20,2024-01-13,06:00:02
QTR73W,2024-01-13,06:00:02
UAE243,2024-01-13,06:00:02
UPS210,2024-01-13,06:00:02
RYR6HE,2024-01-13,06:03:02
AUA4M,2024-01-13,06:04:02
UAE3MX,2024-01-13,06:04:02
WUK7366,2024-01-13,06:05:02
VIR104L,2024-01-13,06:07:02
BEL52B,2024-01-13,06:10:02
WUK8055,2024-01-13,06:11:02
AFR379G,2024-01-13,06:12:02
SWR81C,2024-01-13,06:17:02
UAE8ER,2024-01-13,06:19:02
VIR4C,2024-01-13,06:19:02
BAW8608,2024-01-13,06:20:02
DLH959,2024-01-13,06:20:02
TSC116,2024-01-13,06:22:02
EZY24RE,2024-01-13,06:22:02
