flight,date,time
NCR628,2021-07-28,00:03:02
BCS7PE,2021-07-28,00:10:02
BAW83,2021-07-28,00:25:02
EZY47CG,2021-07-28,00:33:02
THY84U,2021-07-28,00:37:02
UAE2682,2021-07-28,00:47:02
OAE600,2021-07-28,01:53:02
QTR8150,2021-07-28,02:12:02
BCS78G,2021-07-28,02:45:02
DLH401,2021-07-28,03:02:02
DAL232,2021-07-28,03:05:02
GTI4712,2021-07-28,03:18:02
UAL84,2021-07-28,03:19:02
BCS923,2021-07-28,03:31:02
BID103,2021-07-28,04:01:02
ETH574,2021-07-28,04:11:02
ACA840,2021-07-28,04:14:02
CLX63M,2021-07-28,04:21:02
ABR7BN,2021-07-28,04:25:03
ETH500,2021-07-28,04:31:02
DLH445,2021-07-28,04:39:02
PAC937,2021-07-28,04:50:02
DLH423,2021-07-28,04:54:02
ABB112,2021-07-28,05:04:02
TAY011,2021-07-28,05:06:02
DLH431,2021-07-28,05:06:02
UAL106,2021-07-28,05:07:02
ICL922,2021-07-28,05:07:02
UAE2580,2021-07-28,05:08:02
UAL989,2021-07-28,05:09:02
ADB3904,2021-07-28,05:16:02
CLX68U,2021-07-28,05:20:02
AAL100,2021-07-28,05:25:02
ELY006,2021-07-28,05:26:02
BAW74,2021-07-28,05:29:02
UAL950,2021-07-28,05:36:02
DAL98,2021-07-28,05:41:02
BAW40F,2021-07-28,05:44:02
JAL41,2021-07-28,05:50:02
