flight,date,time
RYR30EX,2024-06-16,00:01:02
RUK11CJ,2024-06-16,00:10:02
RYR8ZG,2024-06-16,00:12:02
RYR6WN,2024-06-16,00:13:02
TOM825,2024-06-16,00:13:02
NCR9537,2024-06-16,00:15:02
RYR96TR,2024-06-16,00:15:02
EZY78HD,2024-06-16,00:18:02
EZY15WL,2024-06-16,00:23:02
EZY87EY,2024-06-16,00:24:02
EZY52WG,2024-06-16,00:27:02
RYR95TW,2024-06-16,00:32:02
EZY48NU,2024-06-16,00:34:02
RYR6FT,2024-06-16,00:37:02
RUK86YX,2024-06-16,00:43:02
RYR7VB,2024-06-16,00:45:02
WUK95NE,2024-06-16,00:45:02
RYR436U,2024-06-16,00:48:02
TOM3XA,2024-06-16,00:49:02
RYR20UA,2024-06-16,00:56:02
BRO918D,2024-06-16,00:57:02
TOM85L,2024-06-16,00:58:02
RUK587N,2024-06-16,01:07:02
EXS1508,2024-06-16,01:13:02
EXS73BU,2024-06-16,01:15:02
EZY2914,2024-06-16,01:28:02
RUK6920,2024-06-16,01:33:02
EZY79RN,2024-06-16,01:35:02
EXS5RB,2024-06-16,01:47:02
FDX5021,2024-06-16,01:49:02
TOM83M,2024-06-16,01:49:02
EZY12VH,2024-06-16,01:53:02
EZY91BU,2024-06-16,01:58:02
UPS221,2024-06-16,02:05:02
EXS8DF,2024-06-16,02:22:02
EXS64RW,2024-06-16,02:27:02
CJT1893,2024-06-16,02:53:02
EZY76EH,2024-06-16,03:03:02
EZY29CD,2024-06-16,03:07:02
TOM7WK,2024-06-16,03:13:02
DLH417,2024-06-16,03:13:02
RYR19ZF,2024-06-16,03:52:02
ACA840,2024-06-16,03:54:02
AAL160,2024-06-16,04:04:02
ADZ762,2024-06-16,04:21:02
CFG2017,2024-06-16,04:27:03
DLH409,2024-06-16,04:30:02
N148B,2024-06-16,04:31:02
ACA832,2024-06-16,04:37:02
DLH411,2024-06-16,04:49:02
AUA90,2024-06-16,04:55:02
KLM268,2024-06-16,05:00:02
BAW9E,2024-06-16,05:06:02
ACA836,2024-06-16,05:07:02
QTR8910,2024-06-16,05:18:02
UAL989,2024-06-16,05:24:02
AUA66,2024-06-16,05:28:02
UAL950,2024-06-16,05:31:02
AFR293,2024-06-16,05:33:02
BAW25GP,2024-06-16,05:35:02
DAL238,2024-06-16,05:38:02
BAW78,2024-06-16,05:47:02
BAW216,2024-06-16,05:49:02
DAL30,2024-06-16,05:51:02
AAL50,2024-06-16,05:52:02
JBU1620,2024-06-16,05:53:02
DLH471,2024-06-16,05:55:02
DAL16,2024-06-16,05:55:02
UAL110,2024-06-16,05:57:02
DLH463,2024-06-16,05:58:02
ACA866,2024-06-16,05:59:02
BEL1BT,2024-06-16,06:02:02
ETH574,2024-06-16,06:02:02
VIR4C,2024-06-16,06:04:02
BEL52B,2024-06-16,06:05:02
BAW5CA,2024-06-16,06:06:02
AUA94,2024-06-16,06:07:02
AAL174,2024-06-16,06:09:02
RYR7963,2024-06-16,06:13:02
BAW9NF,2024-06-16,06:13:02
BAW81V,2024-06-16,06:14:02
TAP63V,2024-06-16,06:16:02
TRA27F,2024-06-16,06:16:02
EZY12KM,2024-06-16,06:17:02
SWR81C,2024-06-16,06:18:02
BAW40F,2024-06-16,06:18:02
EXS26C,2024-06-16,06:19:02
AFR337G,2024-06-16,06:20:03
BAW2CE,2024-06-16,06:21:02
AUA4M,2024-06-16,06:21:02
VIR46K,2024-06-16,06:22:02
AAL714,2024-06-16,06:22:02
EXS26LE,2024-06-16,06:23:02
RYR9FH,2024-06-16,06:23:02
BAW20R,2024-06-16,06:23:02
RYR40SW,2024-06-16,06:23:02
RYR9AN,2024-06-16,06:23:02
RYR62B,2024-06-16,06:24:02
TFL352,2024-06-16,06:24:02
BAW366U,2024-06-16,06:24:02
EXS99NL,2024-06-16,06:26:02
RYR10DC,2024-06-16,06:27:02
SVA062,2024-06-16,06:27:02
TOM3YA,2024-06-16,06:29:02
AFR21JD,2024-06-16,06:29:02
EXS5BR,2024-06-16,06:29:02
BAW472M,2024-06-16,06:29:02
UAL901,2024-06-16,06:29:02
RYR14CL,2024-06-16,06:32:02
JAL41,2024-06-16,06:32:02
BAW552F,2024-06-16,06:33:03
EXS7RH,2024-06-16,06:33:03
EZY25WK,2024-06-16,06:33:03
ETH552,2024-06-16,06:34:02
BAW11J,2024-06-16,06:35:02
EZY76NF,2024-06-16,06:35:02
DLH469,2024-06-16,06:36:02
AFR15GB,2024-06-16,06:36:02
RYR49DD,2024-06-16,06:36:02
TOM2TY,2024-06-16,06:37:02
UAL999,2024-06-16,06:37:02
EZY58VL,2024-06-16,06:37:02
UAL929,2024-06-16,06:37:02
AAL106,2024-06-16,06:38:02
EZY19FM,2024-06-16,06:39:02
SLM994,2024-06-16,06:39:02
BAW42Q,2024-06-16,06:39:02
AAL70,2024-06-16,06:40:02
RYR88ED,2024-06-16,06:41:02
EZY57TY,2024-06-16,06:42:02
BAW48G,2024-06-16,06:42:02
EXS85CD,2024-06-16,06:42:02
GFA007,2024-06-16,06:43:02
EZY96PG,2024-06-16,06:43:02
DAL140,2024-06-16,06:45:02
DLH9H,2024-06-16,06:46:02
RYR417N,2024-06-16,06:46:02
EZY87QD,2024-06-16,06:46:02
BAW246,2024-06-16,06:47:02
TOM5XN,2024-06-16,06:48:02
AFR28SV,2024-06-16,06:49:02
BAW812,2024-06-16,06:49:02
EZY91YR,2024-06-16,06:49:02
RYR9JE,2024-06-16,06:50:02
TOM2MK,2024-06-16,06:52:02
AFR26UF,2024-06-16,06:52:02
DLH439,2024-06-16,06:53:02
RYR2MV,2024-06-16,06:54:02
IBE31BB,2024-06-16,06:54:02
EZY56TV,2024-06-16,06:54:02
EXS23LB,2024-06-16,06:54:02
KLM702,2024-06-16,06:54:02
SVA119,2024-06-16,06:54:02
AFR99CV,2024-06-16,06:55:02
EXS16H,2024-06-16,06:55:02
VIR92MC,2024-06-16,06:56:02
THY7JE,2024-06-16,06:56:02
RYR9DF,2024-06-16,06:57:02
SAS51N,2024-06-16,06:57:02
AFR58NW,2024-06-16,06:57:02
UAL960,2024-06-16,06:57:02
BAW7YT,2024-06-16,06:57:02
BAW53YR,2024-06-16,06:58:02
BBC306,2024-06-16,06:58:02
LOT286,2024-06-16,06:59:02
AAL86,2024-06-16,06:59:02
BAW2KP,2024-06-16,07:00:02
UAL182,2024-06-16,07:00:02
EIN680,2024-06-16,07:00:02
AAL730,2024-06-16,07:01:02
EIN14Y,2024-06-16,07:02:02
RYR1FL,2024-06-16,07:02:02
RUK3PB,2024-06-16,07:03:02
EZY64MN,2024-06-16,07:03:02
SWR7DT,2024-06-16,07:03:02
VIR10H,2024-06-16,07:03:02
BAW402,2024-06-16,07:04:02
EZY91XG,2024-06-16,07:04:02
CFE11G,2024-06-16,07:04:02
EXS76ER,2024-06-16,07:05:02
RYR6NP,2024-06-16,07:05:02
RYR68WJ,2024-06-16,07:05:02
BAW5CR,2024-06-16,07:06:02
EXS54DM,2024-06-16,07:06:02
RYR27KH,2024-06-16,07:07:02
ACA854,2024-06-16,07:07:02
EXS31WM,2024-06-16,07:08:02
RYR653J,2024-06-16,07:08:02
BAW176A,2024-06-16,07:08:02
RYR23CW,2024-06-16,07:09:02
EIN45F,2024-06-16,07:11:02
EXS5AB,2024-06-16,07:11:02
RYR7XU,2024-06-16,07:11:02
THT58,2024-06-16,07:12:02
RYR78SZ,2024-06-16,07:13:02
BEL5WG,2024-06-16,07:13:02
RYR97CD,2024-06-16,07:13:02
RYR59GY,2024-06-16,07:13:02
BAW48HY,2024-06-16,07:14:02
EZY35MH,2024-06-16,07:14:02
RYR2687,2024-06-16,07:14:02
BAW564Y,2024-06-16,07:15:02
AFR48XT,2024-06-16,07:16:02
RYR36SJ,2024-06-16,07:17:02
SHT9V,2024-06-16,07:17:02
EXS66WR,2024-06-16,07:17:02
BAW700W,2024-06-16,07:18:02
CFNVT,2024-06-16,07:19:02
BAW64LC,2024-06-16,07:19:02
EIN40G,2024-06-16,07:19:02
BAW18B,2024-06-16,07:19:02
RYR4HG,2024-06-16,07:19:02
UAL972,2024-06-16,07:19:02
TOM3AM,2024-06-16,07:20:02
EXS94RD,2024-06-16,07:20:02
BAW248,2024-06-16,07:22:02
BAW670,2024-06-16,07:22:02
BAW4EA,2024-06-16,07:23:02
EZY15KB,2024-06-16,07:24:02
SHT14G,2024-06-16,07:24:02
DAL86,2024-06-16,07:24:02
RYR5EN,2024-06-16,07:24:02
TOM580,2024-06-16,07:24:02
RUK1RW,2024-06-16,07:26:02
UAL953,2024-06-16,07:27:02
ABD7266,2024-06-16,07:27:02
OCN379,2024-06-16,07:27:02
NSZ2EM,2024-06-16,07:28:02
DAL14,2024-06-16,07:29:03
JSG494,2024-06-16,07:29:03
TOM1GY,2024-06-16,07:30:02
UAL58,2024-06-16,07:30:02
AAL20,2024-06-16,07:30:02
BAW63GV,2024-06-16,07:32:02
AAL48,2024-06-16,07:32:02
RUK8XF,2024-06-16,07:33:02
JBU2220,2024-06-16,07:33:02
EXS37K,2024-06-16,07:33:02
EJU62MX,2024-06-16,07:33:02
CFG2403,2024-06-16,07:34:02
EXS68VC,2024-06-16,07:34:02
BAW492U,2024-06-16,07:35:02
EXS72B,2024-06-16,07:35:02
BAW3TV,2024-06-16,07:36:02
UAL880,2024-06-16,07:36:02
EXS25H,2024-06-16,07:37:02
