flight,date,time
CMB520,2024-03-24,00:06:02
EXS78LQ,2024-03-24,00:12:02
EZY16EP,2024-03-24,00:14:02
RYR23LG,2024-03-24,00:20:02
EZY74TH,2024-03-24,00:25:02
EXS29B,2024-03-24,00:30:02
EZY63BT,2024-03-24,00:49:02
FDX5213,2024-03-24,00:59:02
THY41J,2024-03-24,01:17:02
AZG9931,2024-03-24,01:23:03
VKG1523,2024-03-24,01:30:02
ASL507,2024-03-24,01:48:02
RYR1907,2024-03-24,01:55:02
BIX515R,2024-03-24,01:59:02
THY6061,2024-03-24,02:16:02
CKS289,2024-03-24,02:46:02
DAL202,2024-03-24,02:54:02
DLH423,2024-03-24,03:05:02
DLH443,2024-03-24,03:39:02
QTR8910,2024-03-24,03:39:02
DLH401,2024-03-24,03:48:02
AFR327,2024-03-24,03:49:02
VJT793,2024-03-24,04:05:02
SVA062,2024-03-24,04:06:02
ADZ762,2024-03-24,04:06:02
KAC118,2024-03-24,04:10:02
GTI7482,2024-03-24,04:19:02
AFR345,2024-03-24,04:27:02
AAL704,2024-03-24,04:29:02
ACA840,2024-03-24,04:33:03
CLX19J,2024-03-24,04:33:03
DAL82,2024-03-24,04:34:02
CLX49B,2024-03-24,04:38:02
CFG2403,2024-03-24,04:49:02
ACA874,2024-03-24,04:52:03
AUA90,2024-03-24,04:57:02
NCR831,2024-03-24,04:58:02
AAL716,2024-03-24,04:58:02
UAL989,2024-03-24,05:03:02
DLH445,2024-03-24,05:03:02
DAL86,2024-03-24,05:04:02
AUA66,2024-03-24,05:11:02
BAW78,2024-03-24,05:14:02
DLH431,2024-03-24,05:15:02
DLH471,2024-03-24,05:16:02
BAW25GP,2024-03-24,05:19:02
DAL106,2024-03-24,05:20:02
UAL950,2024-03-24,05:24:02
JBU1620,2024-03-24,05:27:02
AUA94,2024-03-24,05:28:02
AUA88,2024-03-24,05:30:02
DAL152,2024-03-24,05:34:02
AFR293,2024-03-24,05:35:02
BEL52B,2024-03-24,05:36:02
BAW9E,2024-03-24,05:36:02
AUA74,2024-03-24,05:39:02
AAL718,2024-03-24,05:39:02
BAW216,2024-03-24,05:42:02
BAW20R,2024-03-24,05:43:02
DLH411,2024-03-24,05:45:02
ACA844,2024-03-24,05:45:02
VIR4C,2024-03-24,05:45:02
BAW5CA,2024-03-24,05:48:02
UAL110,2024-03-24,05:48:02
DAL80,2024-03-24,05:53:02
VIR104L,2024-03-24,05:53:02
UAL999,2024-03-24,05:54:02
JAL41,2024-03-24,05:54:02
DLH463,2024-03-24,05:55:02
DLH403,2024-03-24,05:56:02
AFR351,2024-03-24,05:57:02
TSC572,2024-03-24,05:57:02
THT58,2024-03-24,05:58:02
AFR159,2024-03-24,06:01:02
UAL14,2024-03-24,06:01:02
DLH419,2024-03-24,06:02:02
AFR695J,2024-03-24,06:02:02
UAL972,2024-03-24,06:03:03
UAL918,2024-03-24,06:03:03
AAL100,2024-03-24,06:06:02
DAL10,2024-03-24,06:10:02
DAL228,2024-03-24,06:11:02
AAL70,2024-03-24,06:13:02
DAL220,2024-03-24,06:13:02
ASJ09BF,2024-03-24,06:14:02
VIR46K,2024-03-24,06:14:02
RYR15CT,2024-03-24,06:15:02
BAW9NF,2024-03-24,06:15:02
BAW41YA,2024-03-24,06:15:02
RYR29RQ,2024-03-24,06:17:02
ACA832,2024-03-24,06:18:02
BAW6W,2024-03-24,06:18:02
AUA4M,2024-03-24,06:20:02
BAW246,2024-03-24,06:21:02
DAL16,2024-03-24,06:22:02
SWR81C,2024-03-24,06:23:02
BAW42,2024-03-24,06:25:02
EZY83BY,2024-03-24,06:26:02
TOM1TC,2024-03-24,06:27:02
DAL98,2024-03-24,06:27:02
AFR32KJ,2024-03-24,06:29:02
EZY74MY,2024-03-24,06:29:02
DAL130,2024-03-24,06:30:02
BAW472,2024-03-24,06:30:02
RYR7JY,2024-03-24,06:31:02
UAL944,2024-03-24,06:32:02
RYR24FK,2024-03-24,06:33:02
AFR137,2024-03-24,06:34:02
RYR95BR,2024-03-24,06:34:02
RYR2UF,2024-03-24,06:35:02
AFR347,2024-03-24,06:35:02
KLM1046,2024-03-24,06:35:02
TOM3WB,2024-03-24,06:36:02
TAP63V,2024-03-24,06:36:02
DLH439,2024-03-24,06:37:02
RYR6XR,2024-03-24,06:37:02
AFR57UM,2024-03-24,06:38:02
BAW93G,2024-03-24,06:38:02
BAW81V,2024-03-24,06:38:02
DAL30,2024-03-24,06:39:02
BLX393,2024-03-24,06:39:02
BAW5MK,2024-03-24,06:41:02
EJU4639,2024-03-24,06:42:02
VIR118,2024-03-24,06:42:02
RYR17NN,2024-03-24,06:42:02
BAW388R,2024-03-24,06:43:02
CLX27G,2024-03-24,06:43:02
RYR450P,2024-03-24,06:43:02
RYR764V,2024-03-24,06:44:02
EXS72LK,2024-03-24,06:44:02
BAW710R,2024-03-24,06:45:02
RYR20HQ,2024-03-24,06:45:02
UAL182,2024-03-24,06:47:02
ABB277,2024-03-24,06:47:02
BAW12P,2024-03-24,06:49:02
EIN4502,2024-03-24,06:50:02
UAL901,2024-03-24,06:50:02
DLH9H,2024-03-24,06:51:02
AFR65YP,2024-03-24,06:52:03
DLH475,2024-03-24,06:52:03
SIA306,2024-03-24,06:53:02
KLM1000,2024-03-24,06:53:02
SAS7405,2024-03-24,06:54:02
EXS98AP,2024-03-24,06:55:02
THY3DR,2024-03-24,06:55:02
ITY229,2024-03-24,06:56:03
UAL102,2024-03-24,06:57:02
SAS802,2024-03-24,06:57:02
AFR1887,2024-03-24,06:58:02
UAL960,2024-03-24,06:58:02
DLH441,2024-03-24,06:58:02
ABD716,2024-03-24,06:59:02
BAW3FP,2024-03-24,06:59:02
VLG822X,2024-03-24,07:00:02
RYR2XX,2024-03-24,07:01:02
VIR130C,2024-03-24,07:03:02
TOM1AT,2024-03-24,07:03:02
RYR81TT,2024-03-24,07:03:02
SIA25,2024-03-24,07:04:02
EXS6H,2024-03-24,07:05:02
AFR97ZB,2024-03-24,07:05:02
