flight,date,time
EZY94UK,2021-11-01,00:09:02
KAF001,2021-11-01,00:42:02
TOM22B,2021-11-01,00:42:02
TOM9KD,2021-11-01,01:19:02
N18NN,2021-11-01,01:40:02
CLX43X,2021-11-01,02:21:02
EXS1422,2021-11-01,02:32:02
UPS227,2021-11-01,02:41:02
DLH423,2021-11-01,02:53:02
UAL944,2021-11-01,03:39:02
EXS1494,2021-11-01,04:17:02
BAW74,2021-11-01,04:31:02
CMB503,2021-11-01,04:39:02
BOX425,2021-11-01,04:44:02
UAL30,2021-11-01,04:44:02
UAL106,2021-11-01,05:06:02
AUA90,2021-11-01,05:07:02
AAL704,2021-11-01,05:15:02
BAW254,2021-11-01,05:17:02
DLH403,2021-11-01,05:31:02
UAL950,2021-11-01,05:32:02
VIR4C,2021-11-01,05:37:02
ACA844,2021-11-01,05:39:02
UAL918,2021-11-01,05:46:02
AUA94,2021-11-01,05:49:02
BAW45B,2021-11-01,05:50:02
CMB505,2021-11-01,05:55:02
BAW6W,2021-11-01,06:00:02
CLU5122,2021-11-01,06:03:02
TAP1363,2021-11-01,06:14:02
AAL100,2021-11-01,06:17:02
N550KR,2021-11-01,06:17:02
BAW472,2021-11-01,06:19:02
MARDI,2021-11-01,06:19:02
BAW2698,2021-11-01,06:21:02
BAW66V,2021-11-01,06:21:02
EXS62YH,2021-11-01,06:22:02
DLH419,2021-11-01,06:22:02
RYR8XZ,2021-11-01,06:23:02
DAL14,2021-11-01,06:24:02
AFR379,2021-11-01,06:25:02
AFR35NA,2021-11-01,06:28:02
AAL108,2021-11-01,06:28:02
BAW456,2021-11-01,06:30:02
ACA832,2021-11-01,06:33:02
SHT8B,2021-11-01,06:33:02
VIR138M,2021-11-01,06:35:02
EZY7065,2021-11-01,06:36:02
SHT6C,2021-11-01,06:37:02
QGA016A,2021-11-01,06:37:02
RYR2HD,2021-11-01,06:41:02
TAP753A,2021-11-01,06:42:02
KLM1000,2021-11-01,06:43:02
RYR8AC,2021-11-01,06:43:02
ICL942,2021-11-01,06:45:02
BAW176A,2021-11-01,06:45:02
DLH5XU,2021-11-01,06:47:02
AAL730,2021-11-01,06:47:02
AFR11EJ,2021-11-01,06:47:02
BAH6,2021-11-01,06:49:02
ACA870,2021-11-01,06:51:02
DLH441,2021-11-01,06:52:02
SHT86L,2021-11-01,06:53:02
AFR24XG,2021-11-01,06:54:02
TAP669,2021-11-01,06:55:02
UAL907,2021-11-01,06:55:02
BAW964H,2021-11-01,06:55:02
EJU94BE,2021-11-01,06:55:02
TOM901P,2021-11-01,06:55:02
EXS38AC,2021-11-01,06:56:02
WUK3NK,2021-11-01,06:57:02
BEL2104,2021-11-01,06:58:02
BAW388R,2021-11-01,07:00:02
AJT8621,2021-11-01,07:02:02
SWR345,2021-11-01,07:03:03
EZY802,2021-11-01,07:04:02
DLH6VM,2021-11-01,07:05:02
VKG1408,2021-11-01,07:06:02
AFR82CM,2021-11-01,07:08:02
UAL931,2021-11-01,07:09:02
BAW81V,2021-11-01,07:11:02
AFR91RH,2021-11-01,07:11:02
BAW428,2021-11-01,07:11:02
SWR359,2021-11-01,07:13:02
DAL30,2021-11-01,07:13:02
AAL48,2021-11-01,07:14:02
OAE8465,2021-11-01,07:15:02
UAL182,2021-11-01,07:15:02
RJA264D,2021-11-01,07:16:02
RYR3HV,2021-11-01,07:16:02
DAL1,2021-11-01,07:16:02
BAW724,2021-11-01,07:16:02
AFR51SZ,2021-11-01,07:17:02
RYR1KW,2021-11-01,07:18:02
SAS95T,2021-11-01,07:19:02
EXS65VD,2021-11-01,07:22:02
DLH475,2021-11-01,07:22:02
RYR4XR,2021-11-01,07:22:02
RYR4YH,2021-11-01,07:23:02
