flight,date,time
BCS427,2022-09-22,00:00:02
BCS72J,2022-09-22,00:02:02
EZY21VV,2022-09-22,00:03:02
UPS203,2022-09-22,00:05:02
EZY26AE,2022-09-22,00:07:02
QTR8917,2022-09-22,00:12:02
RYR576Y,2022-09-22,00:15:02
EXS95YL,2022-09-22,00:20:02
TOM3HD,2022-09-22,00:22:02
TOM8AT,2022-09-22,00:24:02
TOM3JN,2022-09-22,00:40:02
EXS96PX,2022-09-22,00:41:02
TOM6313,2022-09-22,00:46:02
EZY73KC,2022-09-22,00:52:02
EZY68CN,2022-09-22,00:53:02
QTR65G,2022-09-22,00:58:02
EZY91DR,2022-09-22,01:00:02
EZY6062,2022-09-22,01:01:02
WUK905,2022-09-22,01:01:02
TOM7AY,2022-09-22,01:05:02
EZY53TH,2022-09-22,01:10:02
BCS461,2022-09-22,01:10:02
EXS95EU,2022-09-22,01:12:02
EXS12PY,2022-09-22,01:13:02
RYR1XA,2022-09-22,01:14:02
WUK8130,2022-09-22,01:19:02
RYR6602,2022-09-22,01:22:02
TOM13W,2022-09-22,01:29:02
EZY93TB,2022-09-22,01:33:02
AXY193J,2022-09-22,01:35:02
BCS453,2022-09-22,01:35:02
EZY75KL,2022-09-22,01:37:02
EZY6304,2022-09-22,01:40:02
TOM7YB,2022-09-22,01:41:02
EZY48QK,2022-09-22,01:44:02
EXS31CH,2022-09-22,01:56:02
MAS8501,2022-09-22,01:57:02
TOM6CG,2022-09-22,01:58:02
EXS84GV,2022-09-22,02:04:02
EZY13CX,2022-09-22,02:05:02
MNB351,2022-09-22,02:07:02
BCS426,2022-09-22,02:09:02
UAL91,2022-09-22,02:10:02
TOM9MG,2022-09-22,02:12:02
BCS92L,2022-09-22,02:12:02
BCS6YG,2022-09-22,02:40:02
BCS463,2022-09-22,02:52:02
UPS208,2022-09-22,02:52:02
ELY003,2022-09-22,02:57:02
EZY86YT,2022-09-22,02:58:02
IMX112,2022-09-22,03:10:02
THY38G,2022-09-22,03:17:02
BCS464,2022-09-22,03:19:02
DLH401,2022-09-22,03:21:03
FDX5204,2022-09-22,03:34:02
MSR981,2022-09-22,03:44:02
FPO4294,2022-09-22,03:50:02
AAL293,2022-09-22,03:53:02
ELY001,2022-09-22,03:56:02
N624BR,2022-09-22,04:00:02
DCS303,2022-09-22,04:02:02
ETH574,2022-09-22,04:10:02
KAC118,2022-09-22,04:14:02
ICE548,2022-09-22,04:15:02
ETH500,2022-09-22,04:18:02
SWR87,2022-09-22,04:23:02
THY5TJ,2022-09-22,04:31:02
BCS2696,2022-09-22,04:33:02
AAL716,2022-09-22,04:33:02
TVF89HR,2022-09-22,04:34:02
ACA840,2022-09-22,04:36:02
ETH552,2022-09-22,05:01:02
BAW74,2022-09-22,05:02:02
DLH423,2022-09-22,05:04:02
UAL989,2022-09-22,05:09:02
DLH411,2022-09-22,05:10:02
UAL30,2022-09-22,05:13:02
TFL352,2022-09-22,05:18:02
DLH445,2022-09-22,05:18:02
ACA834,2022-09-22,05:19:02
DLH479,2022-09-22,05:21:02
UAL385,2022-09-22,05:24:02
ABB118,2022-09-22,05:28:02
AAL704,2022-09-22,05:28:02
ACA898,2022-09-22,05:35:02
ENT597P,2022-09-22,05:36:02
UAL950,2022-09-22,05:40:02
BAW9E,2022-09-22,05:43:02
UPS218,2022-09-22,05:43:02
ACA880,2022-09-22,05:45:02
LAV922P,2022-09-22,05:49:02
VIR4C,2022-09-22,05:51:02
DLH403,2022-09-22,05:52:02
UPS204,2022-09-22,05:53:02
N4BA,2022-09-22,05:53:02
BEL52B,2022-09-22,05:57:02
THY184,2022-09-22,05:58:02
